iter	Passed	Remaining
0	139	139204
1	140	69908
2	140	46804
3	141	35272
4	142	28324
5	142	23684
6	143	20369
7	144	17887
8	144	15954
9	145	14408
10	146	13148
11	146	12100
12	147	11209
13	148	10447
14	149	9786
15	149	9208
16	150	8696
17	151	8241
18	151	7837
19	152	7470
20	153	7143
21	153	6842
22	154	6565
23	155	6311
24	155	6080
25	156	5864
26	157	5665
27	157	5483
28	158	5311
29	159	5153
30	160	5003
31	160	4864
32	161	4734
33	162	4613
34	163	4497
35	163	4387
36	164	4288
37	165	4190
38	166	4098
39	167	4011
40	167	3927
41	168	3846
42	169	3774
43	170	3702
44	171	3631
45	171	3563
46	172	3497
47	173	3435
48	173	3376
49	174	3320
50	175	3264
51	176	3212
52	176	3160
53	177	3111
54	178	3062
55	179	3018
56	179	2973
57	180	2930
58	181	2889
59	182	2851
60	182	2816
61	183	2781
62	184	2747
63	185	2714
64	186	2681
65	187	2647
66	187	2615
67	188	2583
68	189	2554
69	190	2525
70	190	2495
71	191	2466
72	192	2438
73	192	2414
74	193	2389
75	194	2365
76	195	2344
77	196	2321
78	197	2296
79	197	2272
80	198	2249
81	198	2226
82	199	2203
83	200	2181
84	200	2159
85	201	2142
86	202	2122
87	202	2103
88	203	2083
89	204	2064
90	204	2046
91	205	2028
92	206	2010
93	207	1995
94	207	1980
95	208	1964
96	209	1948
97	209	1932
98	210	1916
99	211	1900
100	211	1885
101	212	1867
102	212	1853
103	213	1840
104	214	1828
105	215	1816
106	216	1803
107	216	1789
108	217	1776
109	217	1763
110	218	1750
111	219	1739
112	220	1729
113	221	1721
114	222	1709
115	222	1696
116	223	1685
117	223	1673
118	224	1660
119	225	1650
120	226	1641
121	226	1632
122	227	1620
123	227	1610
124	228	1601
125	229	1590
126	230	1581
127	230	1569
128	231	1560
129	232	1553
130	232	1545
131	233	1537
132	234	1530
133	235	1521
134	236	1513
135	236	1504
136	237	1498
137	238	1490
138	239	1482
139	239	1474
140	240	1466
141	241	1460
142	242	1453
143	243	1446
144	244	1439
145	244	1432
146	245	1426
147	246	1418
148	247	1411
149	247	1404
150	248	1397
151	249	1389
152	249	1382
153	250	1376
154	251	1371
155	252	1364
156	252	1357
157	253	1350
158	254	1344
159	254	1337
160	255	1330
161	256	1325
162	257	1320
163	258	1315
164	258	1309
165	259	1303
166	260	1296
167	260	1291
